,runstring,instability_time,m1,m2,m3,Stable
105,0000105.bin,1000000000.0,4.3082217331745406e-05,1.1152081651364983e-06,2.3559766383833534e-05,True
106,0000106.bin,1000000000.0,1.3553491857069842e-05,5.050364017126926e-05,1.1227705925003455e-07,True
107,0000107.bin,64.12050330024474,5.488401558788078e-07,5.544594517181251e-06,8.257394254916037e-05,False
108,0000108.bin,12682712.17088652,2.463546078002058e-07,2.7983568089512565e-05,4.378465451145284e-05,False
109,0000109.bin,3116.9975581830918,6.898411797568037e-07,2.3869148308863062e-06,4.38220035706675e-06,False
110,0000110.bin,1000000000.0,6.35017784013237e-05,1.4591642772175247e-06,2.916913758353995e-05,True
111,0000111.bin,1000000000.0,3.0304819108925544e-05,4.3479980989327607e-07,6.72292599768643e-05,True
112,0000112.bin,1000000000.0,2.7780490034801414e-06,9.960076444232856e-06,7.236042107364089e-06,True
113,0000113.bin,197.07272871600418,1.2349971647463014e-07,4.007320827082563e-05,1.4663175239050723e-05,False
114,0000114.bin,569.9484882124436,5.282098596237647e-07,1.9663538999089307e-07,9.948973481832017e-06,False
115,0000115.bin,4762.400171899587,4.871998265625137e-05,3.8976693067450023e-07,2.188446324665692e-07,False
116,0000116.bin,7.794115183600938,2.9112036984771638e-05,6.301087942511468e-06,1.4669054532688352e-05,False
117,0000117.bin,23084.801742832253,5.251811020680044e-07,3.113202335719346e-07,1.583233362488547e-06,False
118,0000118.bin,1270725.8963542813,1.358147077337686e-05,3.528707570537234e-07,1.9817420815928783e-07,False
119,0000119.bin,388647997.68107104,6.01088716434478e-05,3.463034721408237e-07,2.2504390946441432e-05,False
120,0000120.bin,954330.7832030028,3.5060157442619664e-06,3.680819439883638e-07,7.223681368795693e-05,False
121,0000121.bin,1000000000.0,1.8276981009879233e-07,5.641885364186837e-06,1.560466599408885e-06,True
122,0000122.bin,1000000000.0,3.3888747676374502e-06,6.1800823385176155e-06,8.070390746703866e-07,True
123,0000123.bin,28347.01860952458,1.435789577894234e-07,1.8262491742267415e-07,1.6661929440969373e-06,False
124,0000124.bin,294323.7912810815,7.626798461096221e-05,4.4133251846961345e-06,3.3981181334849237e-07,False
125,0000125.bin,1000000000.0,5.013888334647705e-05,4.6515410490623093e-07,2.6554625206849918e-05,True
126,0000126.bin,1000000000.0,5.220717793750532e-06,5.422401658459864e-06,2.3390621096178985e-06,True
127,0000127.bin,2.6673580621969952,1.3605903444776603e-07,7.442325735550908e-06,4.922135207275165e-06,False
128,0000128.bin,2182.9354274714415,6.608490515754656e-05,5.127957459766614e-07,3.4240018104855025e-06,False
129,0000129.bin,192176835.89534605,5.7318300549747976e-06,2.218641384978827e-05,6.537201241063806e-07,False
130,0000130.bin,1000000000.0,3.625215478987773e-06,6.606402953805476e-07,1.6687682886468664e-05,True
131,0000131.bin,2930240.407941973,8.837014475882623e-07,2.0398815697981803e-05,1.8313067450901202e-07,False
132,0000132.bin,1798.3868006086873,1.726976714172469e-06,1.6717306431566222e-06,4.9348652564943294e-05,False
133,0000133.bin,1000000000.0,3.0303860026687936e-06,2.799379253116991e-06,2.0270199212663795e-05,True
134,0000134.bin,1000000000.0,2.8337156470149194e-06,3.9473410987758894e-07,8.946196240366122e-05,True
135,0000135.bin,1000000000.0,1.0200115948226144e-05,7.52326119581088e-06,5.601730389801455e-06,True
136,0000136.bin,1000000000.0,5.335174447761026e-06,3.839552180941073e-06,1.9928254393116114e-06,True
137,0000137.bin,131140.44940962706,1.6485408864427084e-07,1.6993598816036063e-06,9.348978253061725e-05,False
138,0000138.bin,1000000000.0,3.804600009693792e-07,2.2403653922972133e-06,1.2430678914382134e-05,True
139,0000139.bin,1000000000.0,1.0104865060073556e-07,1.2160791372523848e-05,4.1351411685012985e-06,True
140,0000140.bin,853.8229534117118,2.064300031033518e-05,1.927690676514863e-07,6.318619816842499e-07,False
141,0000141.bin,403050.2413998331,3.564205192132353e-06,1.2318636908499795e-07,2.2507293125942847e-05,False
142,0000142.bin,67063830.05038244,5.59455204231424e-06,1.0979192697188792e-05,2.8917573005454783e-06,False
143,0000143.bin,7170.364012452919,5.23737252728611e-05,3.5826231266653443e-05,1.3723053689153424e-07,False
144,0000144.bin,1000000000.0,2.2120842578639744e-06,2.3077348403512384e-06,6.831861951687442e-05,True
145,0000145.bin,6.997342265932118,4.087212026714258e-05,2.619530398717803e-05,5.433780320844937e-05,False
146,0000146.bin,76522.79181408178,2.5119182437365716e-07,7.412496776978827e-06,2.0789215006083352e-05,False
147,0000147.bin,35256546.2172596,6.542137100733709e-06,2.795070013660541e-07,6.831945125956812e-05,False
148,0000148.bin,19.606799223925588,1.623698026511288e-06,8.092653059479612e-06,8.14314320709121e-05,False
149,0000149.bin,763.799702708649,1.63426516048471e-07,5.690654680410508e-07,2.6072481743037254e-07,False
150,0000150.bin,1000000000.0,2.960886268497143e-05,4.848724145390319e-05,3.6610463874191544e-07,True
151,0000151.bin,487.81157621322404,1.3174107585186573e-05,3.4509920897542546e-05,7.117984140596713e-05,False
152,0000152.bin,61333.48270127491,8.569588503395786e-05,1.4940030196200906e-06,2.7450125481847843e-07,False
153,0000153.bin,1000000000.0,9.552191639914322e-05,1.6865587501325693e-07,6.026029242622371e-07,True
154,0000154.bin,1000000000.0,4.068430665602667e-07,5.841086378860296e-05,1.338312539913774e-06,True
155,0000155.bin,1000000000.0,5.529156462673164e-06,4.151066051412217e-06,4.7960366157397366e-05,True
156,0000156.bin,773143.3674380658,2.9062865804039975e-06,4.643459134387294e-05,5.525755480092393e-07,False
157,0000157.bin,116304.493127669,6.838017022245471e-06,4.7249943584288454e-07,1.1201179992948537e-07,False
158,0000158.bin,116412877.70082998,1.1291637287886024e-05,9.693299089180559e-05,6.354532567562555e-05,False
159,0000159.bin,1000000000.0,1.5260179603903357e-06,1.0413869880261842e-05,5.407107037503078e-07,True
160,0000160.bin,1000000000.0,2.3313691187786156e-07,1.0704014640794766e-06,3.3358125263185793e-07,True
161,0000161.bin,1000000000.0,3.5861645207148443e-06,4.477124867574529e-06,4.882953369079283e-07,True
162,0000162.bin,22.03168467591872,1.4491472272196077e-07,5.114805797094321e-05,4.110252418857241e-07,False
163,0000163.bin,1000000000.0,4.20980581510495e-06,2.351331531942531e-06,5.661843807355157e-06,True
164,0000164.bin,199694659.66277972,1.9319892315650947e-07,8.000357358928097e-07,6.775942266414937e-05,False
165,0000165.bin,174.97176275379155,1.123246354122756e-07,7.682097528004674e-05,4.72832124709167e-05,False
166,0000166.bin,96.19808532211984,3.4367114017164685e-07,6.452678554720662e-06,1.9233664475160184e-06,False
167,0000167.bin,1000000000.0,4.858326714374276e-07,1.8350965482578663e-07,1.8781138946407356e-06,True
168,0000168.bin,1223.8219068721899,1.7245622627861536e-05,3.5572033805701103e-06,1.3768153434759647e-06,False
169,0000169.bin,34699.37612661502,5.842281792975202e-07,7.484515097925143e-06,4.633212415223813e-06,False
170,0000170.bin,7805447.45178591,2.3025235198029557e-05,5.366866741196343e-05,5.750823526157497e-06,False
171,0000171.bin,1372.9122126571358,2.2114386129805093e-05,4.847057363485803e-06,8.876274773339282e-05,False
172,0000172.bin,483142.58361341455,1.141719895344343e-06,4.3849317731557487e-07,3.509911051200669e-05,False
173,0000173.bin,6027791.01253168,9.383830881375414e-07,1.013379627891056e-05,2.1556121978705394e-05,False
174,0000174.bin,2149.4126398804633,2.5840989528519423e-05,2.120964316343741e-06,1.183003305809409e-07,False
175,0000175.bin,329.5742738288738,2.147228105363873e-06,1.4303751057143888e-07,5.251041777771492e-06,False
176,0000176.bin,11342.50722226198,1.2277148488534154e-07,2.005900252429121e-05,4.684942960026893e-07,False
177,0000177.bin,1000000000.0,8.007934678380205e-05,3.130465005146703e-06,5.596196240749243e-06,True
178,0000178.bin,100122.29376518339,7.012380536814292e-05,7.401548479420237e-05,4.770152878484099e-05,False
179,0000179.bin,174.3091797141765,5.064122771663245e-05,3.931279040238779e-07,2.9783203271498726e-05,False
180,0000180.bin,43377426.96908488,2.70844124472069e-07,1.0547245981767557e-05,7.168413951569097e-06,False
181,0000181.bin,953858.7688332993,5.531280941472167e-06,2.0698374423724884e-07,1.009930985185735e-06,False
182,0000182.bin,1650266.863358935,2.27089783385774e-06,5.015934646006008e-07,5.811639338235141e-05,False
183,0000183.bin,1000000000.0,2.107817788272297e-07,1.7471285298521308e-05,1.0091255499533743e-07,True
184,0000184.bin,8038.237248625408,6.725951483680067e-07,5.265934860850199e-07,6.238354718219487e-05,False
185,0000185.bin,1000000000.0,5.019629229827507e-05,2.5956857467496387e-05,2.851663486433083e-07,True
186,0000186.bin,355.34735465465843,1.063895465016569e-06,1.7529629099818393e-06,4.399342125724261e-06,False
187,0000187.bin,743.7768369388572,1.1316508874755524e-06,2.6674937846228705e-06,6.040030264777348e-06,False
188,0000188.bin,402615.55959655944,2.3387928011442145e-05,3.3660728293816543e-05,4.614838766942003e-07,False
189,0000189.bin,1000000000.0,2.820323242360506e-06,1.7069435184027674e-05,2.684644312126396e-07,True
190,0000190.bin,3395.408195900469,1.6740244363834377e-07,1.799969655955707e-05,4.786321374726896e-05,False
191,0000191.bin,13959.088760070323,1.894635097944877e-05,2.297187599533062e-05,4.1137763274168854e-05,False
192,0000192.bin,1000000000.0,1.3182827271137178e-06,7.908441942749433e-07,2.513943008121755e-06,True
193,0000193.bin,1000000000.0,4.845942662510829e-06,4.555066840013533e-05,1.9514122766329203e-05,True
194,0000194.bin,13937.376351960485,2.784034479949628e-05,1.5908980151690688e-07,2.866524291022335e-07,False
195,0000195.bin,1000000000.0,6.117249590999518e-06,1.3379088222968596e-07,3.963204541491069e-07,True
196,0000196.bin,812795.8747222552,8.87561273699386e-06,1.3589803259595806e-05,1.3771322087918247e-05,False
197,0000197.bin,9955.253053247943,4.165142818567427e-06,2.4980012566438295e-07,1.1572943891063966e-07,False
198,0000198.bin,1000000000.0,1.4419025004199698e-07,1.3627436578008557e-05,2.0073562254253472e-07,True
199,0000199.bin,717.622903687304,1.0782943912656113e-06,1.5123634545767372e-06,6.767471448758929e-07,False
200,0000200.bin,1000000000.0,1.370338647501016e-07,4.077002000835405e-07,1.3408245484146988e-05,True
201,0000201.bin,39066632.23809327,1.5896692602559206e-07,9.479788825955989e-07,1.0257135891652925e-07,False
202,0000202.bin,630.5296055196569,1.9572428868237373e-05,8.59690748745988e-06,1.6916645186730677e-06,False
203,0000203.bin,4258476.0254355315,1.8718651004804534e-07,3.3598812872009984e-05,6.329315302666133e-06,False
204,0000204.bin,80688.39030085468,1.5513845419582888e-06,1.804577918852513e-07,5.6457213877301904e-06,False
205,0000205.bin,194365.55797007508,2.0102516873925958e-06,1.4915068093648188e-05,4.061084892569465e-06,False
206,0000206.bin,1000000000.0,1.0615574731005072e-07,8.227416876715516e-07,1.6148374861704945e-05,True
207,0000207.bin,17337.418964460972,3.2955659029470294e-06,1.0167065824016123e-05,3.634509422898875e-05,False
208,0000208.bin,1000000000.0,6.873645978227086e-07,2.1965288767733196e-05,1.4707645327344306e-07,True
209,0000209.bin,5853.867670927433,4.689369393055112e-06,1.1751219849164956e-07,7.878037034489203e-05,False
210,0000210.bin,1000000000.0,1.4259810275572809e-06,1.1007907338759498e-05,1.5169651573066208e-05,True
211,0000211.bin,10175667.769445976,4.950942993961913e-06,1.668553551197869e-05,1.1560902284152537e-07,False
212,0000212.bin,49.43269187356255,1.544502838339863e-06,8.853547509368123e-05,1.3060788678987986e-05,False
213,0000213.bin,1000000000.0,2.8604795582587077e-07,4.586631602668065e-07,1.1473598578472208e-07,True
214,0000214.bin,1000000000.0,3.5632835252087797e-06,1.164254535615736e-06,7.898556899981756e-07,True
215,0000215.bin,1000000000.0,1.3556316540931962e-07,5.7204849601931617e-05,1.9877668372314802e-07,True
216,0000216.bin,1296535.2087899859,3.769354391803028e-05,8.431168474805007e-06,1.3308301244531443e-05,False
217,0000217.bin,14286016.518210595,7.602846876552096e-05,5.091090372858403e-07,5.686296635788753e-07,False
218,0000218.bin,17143.139247450057,7.963190712745925e-07,2.1202816840378857e-07,6.985969403442742e-05,False
219,0000219.bin,2697.9641264557845,1.243569783567793e-05,1.048890908243635e-06,1.3196116634743435e-07,False
220,0000220.bin,1054396.943586966,1.747906675105964e-05,5.00055743686747e-07,5.617928097049869e-07,False
221,0000221.bin,8933487.170221373,5.450097223200369e-07,1.9088904463734333e-07,6.950569137422717e-07,False
222,0000222.bin,411.73865074265757,2.1699478552365023e-05,5.078508213484891e-07,8.286654804306563e-07,False
223,0000223.bin,1000000000.0,9.915314680384601e-07,2.086430920303177e-06,1.498664538669083e-06,True
224,0000224.bin,171919.81643238798,1.5536401703349324e-07,3.7161597255886724e-07,1.7000962260065746e-07,False
225,0000225.bin,1000000000.0,1.2593174890730114e-05,5.229435783660297e-07,1.5273294106412334e-05,True
226,0000226.bin,912.8241238697959,2.832388575972945e-06,3.716456541173196e-05,4.473266347719117e-06,False
227,0000227.bin,7438514.832818203,1.5746151310283664e-06,2.8071116105492133e-05,1.1510609170010723e-05,False
228,0000228.bin,2597.8630994753676,5.739246761237288e-05,1.2197726543241226e-05,4.581463943796559e-07,False
229,0000229.bin,66056600.90155058,3.8584973571888935e-06,4.737940436796071e-07,3.951309129710066e-06,False
230,0000230.bin,1000000000.0,1.3031284098441523e-05,8.050330676941704e-07,6.571497077438085e-05,True
231,0000231.bin,1000000000.0,3.660403633838981e-05,7.696200918128143e-05,2.9367795955937715e-05,True
232,0000232.bin,122928.48736527617,6.96719363949038e-07,5.007646918440085e-07,1.7436222907509166e-07,False
233,0000233.bin,1000000000.0,1.1154002611618568e-05,7.672919342657137e-06,3.7629073317775013e-06,True
234,0000234.bin,218.09972202870028,1.0606191786263253e-06,3.9517162718769416e-05,3.74755491469791e-05,False
235,0000235.bin,4.434047633912846,1.0976265351913023e-06,3.5004319585227062e-06,1.2926090823199864e-07,False
236,0000236.bin,307.29884634820917,1.0464958375249093e-05,3.0614748489549492e-06,1.5732112283181567e-05,False
237,0000237.bin,17.112598902953355,7.371871899809403e-06,5.190217398213305e-05,8.139827262833009e-05,False
238,0000238.bin,124.15188653364952,2.44114235657534e-05,1.8611792113815055e-07,1.4389686792190753e-05,False
239,0000239.bin,112.96434084445781,2.2706641532364075e-07,3.03942787421474e-05,2.8148755867807745e-07,False
240,0000240.bin,1000000000.0,3.9062054675548865e-05,1.4996180981542562e-07,7.293366022854474e-05,True
241,0000241.bin,1000000000.0,1.1600338857732698e-05,1.818423646785385e-05,1.1542531879153311e-06,True
242,0000242.bin,1000000000.0,1.014070394110029e-06,3.078275145229627e-06,7.688222422215386e-05,True
243,0000243.bin,1000000000.0,8.589776192716687e-05,3.776072997377423e-06,1.8758955647834111e-06,True
244,0000244.bin,1000000000.0,6.895497254604904e-05,2.3212195205760428e-05,1.0971495706955818e-05,True
245,0000245.bin,43131.17765736377,2.384843734225242e-07,2.585414309108112e-06,2.261856831705875e-06,False
246,0000246.bin,357.34592627625847,6.042606682636625e-05,3.5483826637811957e-06,1.4515496189428728e-05,False
247,0000247.bin,1000000000.0,2.3700800763788335e-06,1.1572242065300098e-07,3.9456786931681185e-05,True
248,0000248.bin,1000000000.0,3.2383002350898744e-05,1.4877114011429016e-05,2.4835917272102162e-05,True
249,0000249.bin,1000000000.0,6.505252852790278e-07,3.710188036671826e-05,6.838460878743723e-07,True
250,0000250.bin,29.756611235780838,1.4543498328163739e-06,6.295872473590333e-05,4.857795449204242e-06,False
251,0000251.bin,305576.52593963343,2.1595197464756853e-06,1.4038971982427175e-06,5.419028147961105e-06,False
252,0000252.bin,1000000000.0,2.1418280183761162e-05,1.118567277074719e-07,1.148343108928698e-05,True
253,0000253.bin,1000000000.0,4.116989261198997e-06,1.396100507878708e-06,3.954604150661968e-05,True
254,0000254.bin,28293278.639747933,1.3317149227157763e-06,5.660643060005692e-07,9.682725441520453e-06,False
255,0000255.bin,16.662327548137124,1.465192022534702e-07,8.346007344215288e-06,2.4320123172318222e-05,False
256,0000256.bin,40.32208377139441,2.9278671226330478e-06,1.980516901453531e-06,1.333976595813694e-06,False
257,0000257.bin,3461.294146155882,8.937008983237722e-07,2.0167986368246932e-07,3.92584673631e-06,False
258,0000258.bin,221909.47384435197,9.140580572173333e-06,1.6545115297212816e-07,6.22993769491433e-05,False
259,0000259.bin,1000000000.0,1.3142831172739245e-07,4.451139683829992e-06,2.0247799262294277e-06,True
260,0000260.bin,1000000000.0,4.285614609933216e-07,6.517761604896537e-05,5.01648523799025e-06,True
261,0000261.bin,23.036252751326614,1.995928011598899e-06,9.739143657243874e-05,3.3611680393531264e-07,False
262,0000262.bin,1000000000.0,8.701391270246723e-07,4.008650550317547e-06,2.5169829283814343e-06,True
